,amf_no,amf_ra,amf_dec,amf_z,amf_lk,amf_rh,amf_r200,amf_rc,amf_c,amf_str_rh,bax_id,mcxc_id,red_id,whl_id,amf_glat,amf_glon,noi,sig,sn,pl_sn,drops
40,69,145.7716,46.9973,0.3819,101.1241,129.3833,1.4469999999999998,0.43,3.365,32.0001,ABELL0851,J0943.1+4659,RMJ094257.5+465849.8,J094258.0+465912,48.3107654487347,171.61388452837159,1.2375315918689012e-06,5.599919859378133e-06,6.4779676854152,4.623010718433455,0
70,127,131.5656,5.1311,0.2381,109.8361,112.0321,1.452,0.25,5.81,13.0001,-9999,-9999,RMJ084617.5+050803.8,J084606.5+050725,27.810221035249356,221.94355020782027,1.648352736083325e-06,7.430086043314077e-06,7.459689902972437,5.217993880589356,0
79,146,332.7639,-6.8808,0.3885,89.4793,109.0379,1.3630000000000002,0.29,4.697,86.0001,-9999,-9999,RMJ221059.3-065323.9,J221127.0-065401,-46.93171494835645,53.47958012648796,1.0596253332550987e-06,6.321501132333651e-06,6.6559826457634745,4.730898573189985,0
144,352,206.2713,-2.8085,0.5146,81.2607,88.9829,1.208,0.16699999999999998,7.2379999999999995,9.001,-9999,-9999,RMJ134502.1-024838.0,J134502.1-024838,57.38743771088724,328.3899668114239,1.1630021390374168e-06,7.1755616772861686e-06,6.456105351830769,4.609760819291375,0
166,408,194.1038,4.6735,0.2321,95.4086,85.7323,1.328,0.183,7.269,12.0005,MS1253.9+0456,J1256.4+0440,-9999,J125626.4+044013,67.51389050618174,306.17606094536933,1.0858398127311375e-06,7.250981070683338e-06,6.96612950100569,4.918866364245873,0
189,524,37.2412,47.3961,0.3661,59.9368,80.414,1.234,0.26,4.746,61.0007,-9999,-9999,-9999,J022903.4+472321,-12.304021950007655,139.55139817752217,7.60876218919293e-07,7.691551218158565e-06,6.304652101144376,4.517970970390531,0
197,548,344.5281,20.9151,0.3346,58.0732,79.6351,1.245,0.28,4.447,72.0013,RXJ2258.1+2055,J2258.1+2055,RMJ225807.4+205510.0,J225750.9+205627,-34.67964111313504,90.31166512203929,5.752049787588476e-07,1.0813469998538494e-05,10.536322204156914,7.0826195176708575,0
213,600,194.3532,36.9077,0.5247,72.4217,77.7983,1.148,0.35600000000000004,3.225,25.0013,-9999,-9999,RMJ125725.9+365429.4,J125725.9+365429,80.13931462520118,115.94099091309715,5.219039280746074e-07,5.151493951416342e-06,6.7097845546450845,4.7635057906939915,0
217,632,24.9978,-5.9195,0.4165,69.1461,76.365,1.189,0.18,6.603,85.0016,-9999,-9999,RMJ014000.8-055502.8,J014000.8-055503,-65.84993362012992,153.67654559760484,8.250136147580633e-07,7.936099791550077e-06,7.153006462530757,5.03212512880652,0
225,676,224.9344,56.0133,0.2322,67.5195,74.8588,1.2670000000000001,0.071,17.941,34.0007,-9999,-9999,RMJ145929.7+555648.8,J145929.7+555648,53.09658579165645,93.30464840405274,4.3132388327649096e-07,3.385918489584583e-06,6.739409686661396,4.781460416158422,0
