sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
139.4846200 +00.2903919 Sloan 139.48462 +00.29039 DR7
138.7278600 -00.7438139 Sloan 138.72786 -00.74381 DR7
127.4705400 -00.2364419 Sloan 127.47054 -00.23644 DR7
139.0978100 +00.1034031 Sloan 139.09781 +00.10340 DR7
224.8073800 -00.6905850 Sloan 224.80738 -00.69058 DR7
150.3542100 -00.7782231 Sloan 150.35421 -00.77822 DR7
164.4978600 +00.1827689 Sloan 164.49786 +00.18277 DR7
154.2708700 +00.7282319 Sloan 154.27087 +00.72823 DR7
130.7095000 +01.8606889 Sloan 130.70950 +01.86069 DR7
140.4825100 +02.5180161 Sloan 140.48251 +02.51802 DR7
185.3822700 +01.5533389 Sloan 185.38227 +01.55334 DR7
212.9561900 +02.0123989 Sloan 212.95619 +02.01240 DR7
188.5660400 +02.8992711 Sloan 188.56604 +02.89927 DR7
189.3105800 +03.2048581 Sloan 189.31058 +03.20486 DR7
177.5456700 +01.6416261 Sloan 177.54567 +01.64163 DR7
224.3965000 +01.2855869 Sloan 224.39650 +01.28559 DR7
193.3709300 +02.0884169 Sloan 193.37093 +02.08842 DR7
165.5710900 +03.0107139 Sloan 165.57109 +03.01071 DR7
139.4114600 +02.7559081 Sloan 139.41146 +02.75591 DR7
142.4545100 +04.1925500 Sloan 142.45451 +04.19255 DR7
228.3129400 +02.8169231 Sloan 228.31294 +02.81692 DR7
215.5590500 +04.7755011 Sloan 215.55905 +04.77550 DR7
231.5412400 +02.8762831 Sloan 231.54124 +02.87628 DR7
223.4863700 +04.6788300 Sloan 223.48637 +04.67883 DR7
163.3884900 +03.6625031 Sloan 163.38849 +03.66250 DR7
167.3574000 +05.0455150 Sloan 167.35740 +05.04551 DR7
179.6006400 +05.3353781 Sloan 179.60064 +05.33538 DR7
163.7269800 +05.3966639 Sloan 163.72698 +05.39666 DR7
208.0356600 +04.2922311 Sloan 208.03566 +04.29223 DR7
193.0959300 +05.3978539 Sloan 193.09593 +05.39785 DR7
193.2530900 +05.4194511 Sloan 193.25309 +05.41945 DR7
201.8791800 +05.2965789 Sloan 201.87918 +05.29658 DR7
196.4565200 +05.7629369 Sloan 196.45652 +05.76294 DR7
146.1857200 +06.3548381 Sloan 146.18572 +06.35484 DR7
146.8852400 +05.2885539 Sloan 146.88524 +05.28855 DR7
213.3080000 +06.6342400 Sloan 213.30800 +06.63424 DR7
160.4142500 +06.5624800 Sloan 160.41425 +06.56248 DR7
167.9740300 +06.6039731 Sloan 167.97403 +06.60397 DR7
152.1143300 +06.2314100 Sloan 152.11433 +06.23141 DR7
166.3277500 +07.0490269 Sloan 166.32775 +07.04903 DR7
241.3703800 +04.0595200 Sloan 241.37038 +04.05952 DR7
222.9385500 +06.5645069 Sloan 222.93855 +06.56451 DR7
200.0667200 +07.6654339 Sloan 200.06672 +07.66543 DR7
181.0657400 +08.3853600 Sloan 181.06574 +08.38536 DR7
192.9573200 +09.6119269 Sloan 192.95732 +09.61193 DR7
165.0600000 +09.8704161 Sloan 165.06000 +09.87042 DR7
150.8798500 +09.3246000 Sloan 150.87985 +09.32460 DR7
185.2108600 +09.9845561 Sloan 185.21086 +09.98456 DR7
198.3729200 +10.6901769 Sloan 198.37292 +10.69018 DR7
164.2953100 +08.8737350 Sloan 164.29531 +08.87373 DR7
209.3754100 +08.6762539 Sloan 209.37541 +08.67625 DR7
142.5790800 +09.7647350 Sloan 142.57908 +09.76473 DR7
150.8531500 +10.5140881 Sloan 150.85315 +10.51409 DR7
238.0994200 +08.1321850 Sloan 238.09942 +08.13218 DR7
212.2087800 +12.1080969 Sloan 212.20878 +12.10810 DR7
219.8175500 +11.2487411 Sloan 219.81755 +11.24874 DR7
155.9836100 +10.4922431 Sloan 155.98361 +10.49224 DR7
187.8971300 +12.0065450 Sloan 187.89713 +12.00654 DR7
