INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
1,PSZ2 G000.04+45.13,0.040543249,45.13517502,229.190512,-1.017222049,4.107309818,6.753185749,2,111,FALSE,1,0,0.938825011,5.481591225,1.899499655,20,RXC J1516.5-0056,0.119800001,3.962410688,0.393289804,0.370242119,J1516.5-0056,RMJ151653.9-010506.3,,,-10,-1000,TRUE,
2,PSZ2 G000.13+78.04,0.138057747,78.04211376,203.5586828,20.25599047,2.056200743,9.256690979,2,111,TRUE,1227,0,0.939320028,4.360847473,1.840250492,20,RXC J1334.1+2013,0.171000004,5.122390747,0.351061344,0.322838783,J1334.1+2013,RMJ133408.7+201453.0,,,-10,-100,TRUE,"Point sources at: 353GHz,"
3,PSZ2 G000.40-41.86,0.402995304,-41.86079263,316.0844846,-41.35416877,2.427383423,9.704280853,1,111,FALSE,2,0,0.988699019,4.507689476,1.046870589,21,RXCJ2104.3-4120,0.165099993,5.29705286,0.32035017,0.344107628,J2104.3-4120,,,,-10,-1000,TRUE,
4,PSZ2 G000.77-35.69,0.77504958,-35.69938639,307.9728437,-40.59872539,2.343365192,6.581792355,2,111,FALSE,3,0,0.98506403,1.606286764,0.516777635,21,RXCJ2031.8-4037,0.341600001,6.333561897,0.58987999,0.611329556,J2031.8-4037,,,SPT-CLJ2031-4037,2,-1000,TRUE,
8,PSZ2 G002.77-56.16,2.777511367,-56.16834318,334.6594732,-38.87940565,2.279604673,9.196058273,2,111,FALSE,6,0,0.975149989,4.047786236,1.028072119,21,RXCJ2218.6-3853,0.141100004,4.411131859,0.298659801,0.303282738,J2218.6-3853,,,,-10,-1000,TRUE,
9,PSZ2 G002.82+39.23,2.827721148,39.23887771,235.0151759,-3.285135269,2.428775311,8.073082924,1,111,FALSE,7,0,0.952116013,9.700966835,2.637288094,21,RXCJ1540.1-0318,0.153300002,5.73601675,0.475537777,0.476516247,J1540.1-0318,,,,-10,-1000,FALSE,
12,PSZ2 G003.91-42.03,3.914657017,-42.03596324,316.4675077,-38.75316015,2.428905725,9.333041191,1,111,FALSE,11,0,0.99397701,5.358175278,1.11077857,21,RXCJ2106.0-3846,0.152099997,4.716204166,0.321887016,0.370266438,J2106.0-3846,,,,-10,-1000,TRUE,
13,PSZ2 G003.93-59.41,3.931727543,-59.41102112,338.6080936,-37.74131837,2.428904533,17.35802078,1,111,FALSE,10,0,0.996897995,5.66285181,0.719786763,21,RXCJ2234.5-3744,0.150999993,7.194754124,0.263985634,0.259054661,J2234.5-3744,,,,-10,-1000,TRUE,
15,PSZ2 G004.13+56.81,4.134254167,56.81672462,221.8651319,8.45169011,3.39679265,6.759990692,2,111,FALSE,12,0,0.984063983,3.088549376,0.930311978,20,RXC J1447.4+0827,0.379999995,7.122817993,0.643274784,0.67863369,J1447.4+0827,RMJ144728.1+082859.9,,,3,-1000,TRUE,
16,PSZ2 G004.45-19.55,4.451980745,-19.5561279,289.2667301,-33.54156645,2.428596735,9.065466881,1,111,TRUE,14,0,0.985598981,1.963852167,0.360269755,20,,0.540000021,10.35693073,0.677134514,0.724367142,,,,,-3,-1000,TRUE,"Point sources at: 353GHz,"
